
TimeEdit,Göteborgs universitet
"STA220_50_VT2026_1_03031, Health data and questionnaires",2026-03-03 - 2026-09-03,
Begin date,Begin time,End date,End time,Course,Module,"Group,Staff group,Student group,Subgroup","Room,Location",Activity,Anledning,Person,Organization,Title,Comment,URL,Headcount,Equipment,Length,Programme,Study instructions 
2026-03-04,10:15,2026-03-04,12:00,STA220. Health data and questionnaires,,,"1412, Medg 11",Lecture,,Erik Bülow,,,,,030,,1.75,,
2026-03-04,13:15,2026-03-04,16:00,STA220. Health data and questionnaires,,,"1412, Medg 11","Compulsory,Computer training",,Erik Bülow,,,,,030,,2.75,,
2026-03-09,10:15,2026-03-09,12:00,STA220. Health data and questionnaires,,,3.029 Blomsteråsen,Lecture,,Erik Bülow,,,,,030,,1.75,,
2026-03-09,13:15,2026-03-09,16:00,STA220. Health data and questionnaires,,,3.029 Blomsteråsen,"Compulsory,Computer training",,Erik Bülow,,,,,030,,2.75,,
2026-03-11,11:15,2026-03-11,13:00,STA220. Health data and questionnaires,,,3.040B Skäleberget,Lecture,,Erik Bülow,,,,,030,,1.75,,
2026-03-11,14:15,2026-03-11,17:00,STA220. Health data and questionnaires,,,"1412, Medg 11",Computer training,,Erik Bülow,,,,,030,,2.75,,
2026-03-16,10:15,2026-03-16,12:00,STA220. Health data and questionnaires,,,3.029 Blomsteråsen,Lecture,,Erik Bülow,,,,,030,,1.75,,
2026-03-16,13:15,2026-03-16,16:00,STA220. Health data and questionnaires,,,3.029 Blomsteråsen,Computer training,,Erik Bülow,,,,,030,,2.75,,
2026-03-18,10:15,2026-03-18,12:00,STA220. Health data and questionnaires,,,3.029 Blomsteråsen,Lecture,,Erik Bülow,,,,,030,,1.75,,
2026-03-18,13:15,2026-03-18,16:00,STA220. Health data and questionnaires,,,"1412, Medg 11",Computer training,,Erik Bülow,,,,,030,,2.75,,
2026-03-23,08:15,2026-03-23,12:00,STA220. Health data and questionnaires,,,3.032 Bulleråsen,Lecture,,"Anna Grimby-Ekman,Erik Bülow",,,"Repetition, Q&A",,030,,3.75,,
2026-03-23,13:15,2026-03-23,16:00,STA220. Health data and questionnaires,,,3.040A Lilla Änggården ALC,"Compulsory,Seminar",,Erik Bülow,,,Mandatory for group 1: 13.15-14.30 and group 2: 14.45-16.00,,030,,2.75,,
2026-03-25,13:30,2026-03-25,18:30,STA220. Health data and questionnaires,,,Reutersgatan 2C,Digital Exam,,"Anna Grimby-Ekman,Erik Bülow",,,,,030,,5.00,,
2026-04-03,00:00,2026-04-04,00:00,Långfredag,,,,,,,,,,,,,24.00,,
2026-04-04,00:00,2026-04-05,00:00,Påskafton,,,,,,,,,,,,,24.00,,
2026-04-05,00:00,2026-04-06,00:00,Påskdagen,,,,,,,,,,,,,24.00,,
2026-04-06,00:00,2026-04-07,00:00,Annandag påsk,,,,,,,,,,,,,24.00,,
2026-04-18,07:00,2026-04-18,21:00,Högskoleprovet,,,,,,,,,,,,,14.00,,
2026-05-01,00:00,2026-05-02,00:00,Första maj,,,,,,,,,,,,,24.00,,
2026-05-09,14:00,2026-05-09,19:00,STA220. Health data and questionnaires,,,,Retake,,"Anna Grimby-Ekman,Erik Bülow",,,,,030,,5.00,,
2026-05-14,00:00,2026-05-15,00:00,Kristi himmelsfärdsdag,,,,,,,,,,,,,24.00,,
2026-05-23,00:00,2026-05-24,00:00,Pingstafton,,,,,,,,,,,,,24.00,,
2026-05-24,00:00,2026-05-25,00:00,Pingstdagen,,,,,,,,,,,,,24.00,,
2026-06-06,00:00,2026-06-07,00:00,Sveriges nationaldag,,,,,,,,,,,,,24.00,,
2026-06-19,00:00,2026-06-20,00:00,Midsommarafton,,,,,,,,,,,,,24.00,,
2026-06-20,00:00,2026-06-21,00:00,Midsommardagen,,,,,,,,,,,,,24.00,,
2026-08-24,14:00,2026-08-24,19:00,STA220. Health data and questionnaires,,,,Retake,,"Anna Grimby-Ekman,Erik Bülow",,,,,030,,5.00,,
